CNT_d_nm,CNT_l_nm,CNT_wt_pct,CNT_vol_frac,Al_particle_size_um,Al_wt_pct,ISS_MPa,Sinter_T_K,Porosity_pct,sigma_y_MPa,Hardness_GPa,sigma_UTS_MPa
20.0,1034.8623474683097,1.71951764180438,0.022,4.665900426817629,98.2804823581956,169.37,783.1,1.282051282051282,259.537282102765,1.109,455.0
20.0,446.179604261796,1.17056856187291,0.015,9.343236192512594,98.8294314381271,109.5,873.1,1.923076923076923,159.259361309343,0.6805,289.0
20.0,100.0,1.71951764180438,0.022,3.8951966004757987,98.2804823581956,200.0,813.1,1.1153846153846154,270.37510267409,1.1553,474.0
20.0,100.0,1.71951764180438,0.022,2.9505612738151332,98.2804823581956,200.0,813.1,0.858974358974359,318.289677831523,1.3601,558.0
20.0,1636.8897556072745,1.5625,0.02,2.1737891614284215,98.4375,198.4685,873.1,0.5769230769230769,463.093691760321,1.9788,820.0
20.0,1595.883052522577,1.5625,0.02,2.23501217614386,98.4375,196.85846153846154,873.1,0.6025641025641024,440.503755576891,1.8823,780.0
41.87010796786046,195.87100560300456,1.5625,0.02,22.411208342709596,98.4375,63.735769230769236,787.1,2.730769230769231,87.3,0.373,138.0
24.384948827834656,440.5756042825908,3.0,0.038243626062323,8.961972688335473,97.0,115.17846153846153,831.1,1.8846153846153846,173.3,0.740402075,274.1
26.04938899136624,399.04505792598883,5.0,0.0633802816901408,9.808591731601767,95.0,108.89538461538461,826.7666666666667,1.967948717948718,158.1,0.6756,250.0
14.497755466305884,960.8015700097492,3.1390134529148,0.04,3.251796045443396,96.8609865470852,164.65769230769232,879.7666666666667,0.9487179487179488,300.0,1.2819,440.0
30.22162755592213,319.35615534211314,0.779510022271715,0.01,13.593795517873032,99.2204899777283,94.75846153846155,811.1,2.269230769230769,131.2,0.5606,207.5
36.84214662126292,237.29017914798948,5.0,0.0633802816901408,19.505311963766413,95.0,75.90923076923077,801.1,2.6025641025641026,96.0,0.4903325,174.0
18.88006739217189,646.6059073770396,2.5,0.0319148936170213,6.159709219391499,97.5,139.5253846153846,849.7666666666667,1.5384615384615383,227.4,0.971839015,359.6
42.743023028966874,189.9035655447166,5.0,0.0633802816901408,23.691372536564625,95.0,61.77230769230769,784.4333333333334,2.782051282051282,82.2,0.3512,130.0
14.497755466305884,960.8015700097492,1.5625,0.02,3.684719507675078,98.4375,164.65769230769232,873.7666666666667,1.064102564102564,278.2,1.1888,440.0
12.96912090998931,1135.5171242707659,1.0,0.0128205128205128,2.497639713755657,99.0,175.26038461538462,892.4333333333334,0.7051282051282053,385.0,1.6451,477.0
32.95753299365463,280.4398642282462,4.72972972972973,0.06,15.191149251228037,95.2702702702703,86.51192307692308,805.7666666666667,2.371794871794872,120.1,0.5132,190.0
21.280323845786093,540.3869722303289,5.0,0.0633802816901408,7.692367185769534,95.0,128.1373076923077,838.4333333333334,1.7435897435897436,189.7,0.8106,300.0
31.23602022630347,303.9317262494683,0.35,0.0044955044955045,14.17210771480232,99.65,91.61692307692309,913.15,2.3076923076923075,124.3,0.531324297,196.6
26.48295631652838,389.28915875347275,0.35,0.0044955044955045,10.01505904034925,99.65,107.32461538461538,913.15,1.9871794871794872,156.8,0.669990328,248.0
31.494894429384306,300.1934576755814,0.38,0.0048804155488327,14.370294937915645,99.62,90.83153846153846,913.15,2.3205128205128207,123.8,0.528970701,195.8
26.70243863732329,384.50101950167084,0.38,0.0048804155488327,10.155112783974817,99.62,106.53923076923078,913.15,2.0,156.2,0.6673425325,247.0
27.59870929597285,365.93018999941825,1.05,0.0134596211365902,10.885313396488465,98.95,103.39769230769232,913.15,2.064102564102564,144.3,0.616446019,228.2
23.985729159488884,451.6167829966717,1.05,0.0134596211365902,8.716480072396362,98.95,116.74923076923076,913.15,1.858974358974359,175.2,0.7487377275,277.1
15.487326805969092,870.2322925579007,4.5,0.0571227080394922,4.175279648693333,95.5,158.3746153846154,867.7666666666667,1.1794871794871795,265.6,1.1349,420.0
25.517397981563928,411.5844615801486,2.0,0.0255681818181818,9.214379405377331,98.0,110.85884615384617,829.7666666666667,1.9102564102564101,159.3,0.6807,252.0
26.04938899136624,399.04505792598883,5.0,0.0633802816901408,9.808591731601767,95.0,108.89538461538461,826.7666666666667,1.967948717948718,158.1,0.6756,250.0
31.88723403557989,294.6720895175174,3.4,0.0432937181663837,14.981641255810542,96.6,89.65346153846154,806.4333333333334,2.358974358974359,122.7,0.5243,194.0
